,Title,Artist
531,Him & I,G-Eazy & Halsey
532,Thunder,Imagine Dragons
533,Too Good At Good,es'
534,Good Old Days,Macklemore Featuring Kesha
535,Filthy,Justin Timberlake
536,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
537,Meant To Be,Bebe Rexha & Florida Georgia Line
538,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno"
539,Never Be The Same,Camila Cabello
540,Young Dumb & Broke,Khalid
541,River,Eminem Featuring Ed Sheeran
542,One Foot,WALK THE MOON
543,Love.,Kendrick Lamar Featuring Zacari
544,MIC Drop,BTS Featuring Desiigner
545,Wait,Maroon 5
546,I Like Me Better,Lauv
547,Tell Me You Love Me,Demi Lovato
548,I Miss You,Clean Bandit Featuring Julia Michaels
549,Beautiful Trauma,P!nk
550,Lemon,N*E*R*D & Rihanna
551,My My My!,Troye Sivan
552,I Fall Apart,Post Malone
553,Hold Me Tight Or Don't,Fall Out Boy
554,Walk On Water,Thirty Seconds To Mars
555,Woman,Kesha Featuring The Dap-Kings Horns
556,For You (Fifty Shades Freed),Liam Payne & Rita Ora
557,The Middle,"Zedd, Maren Morris & Grey"
558,Feels Great,Cheat Codes Featuring Fetty Wap & CVBZ
559,Too Much To Ask,Niall Horan
560,Perfect,Ed Sheeran
561,Let You Down,NF
562,New Rules,Dua Lipa
563,Him & I,G-Eazy & Halsey
564,How Long,Charlie Puth
565,Finesse,Bruno Mars & Cardi B
566,Wolves,Selena Gomez X Marshmello
567,Lights Down Low,MAX Featuring gnash
568,Havana,Camila Cabello Featuring Young Thug
569,Bad At Love,Halsey
570,The Middle,"Zedd, Maren Morris & Grey"
571,Meant To Be,Bebe Rexha & Florida Georgia Line
572,Good Old Days,Macklemore Featuring Kesha
573,Never Be The Same,Camila Cabello
574,Rockstar,Post Malone Featuring 21 Savage
575,Pray For Me,The Weeknd & Kendrick Lamar
576,Say Something,Justin Timberlake Featuring Chris Stapleton
577,Young Dumb & Broke,Khalid
578,Wait,Maroon 5
579,Love.,Kendrick Lamar Featuring Zacari
580,God's Plan,Drake
581,Tell Me You Love Me,Demi Lovato
582,I Like Me Better,Lauv
583,My My My!,Troye Sivan
584,Whatever It Takes,Imagine Dragons
585,Lemon,N*E*R*D & Rihanna
586,Beautiful Trauma,P!nk
587,Friends,Marshmello & Anne-Marie
588,Beg,Jack & Jack
589,I Fall Apart,Post Malone
590,Walk On Water,Thirty Seconds To Mars
591,Hold Me Tight Or Don't,Fall Out Boy
592,Woman,Kesha Featuring The Dap-Kings Horns
593,River,Eminem Featuring Ed Sheeran
594,I Miss You,Clean Bandit Featuring Julia Michaels
595,End Game,Taylor Swift Featuring Ed Sheeran & Future
596,Mine,Bazzi
597,No Roots,Alice Merton
598,Trust Fund Ba,'
599,On The Loose,Niall Horan
600,The Middle,"Zedd, Maren Morris & Grey"
601,Finesse,Bruno Mars & Cardi B
602,Meant To Be,Bebe Rexha & Florida Georgia Line
603,Him & I,G-Eazy & Halsey
604,Let You Down,NF
