Title,Artist
These Days,"Rudimental Featuring Jess Glynne, Macklemore & Dan Caplen"
Don't Go Breaking My Heart,Backstreet Boys
Sober,G-Eazy Featuring Charlie Puth
Move To Miami,Enrique Iglesias Featuring Pitbull
Pray,Sam Smith Featuring Logic
All Night,Big Boi
Home With You,Madison Beer
I Like It,"Cardi B, Bad Bunny & J Balvin"
X,Nicky Jam x J Balvin
Drew Barrymore,Bryce Vine
Psycho,Post Malone Featuring Ty Dolla $ign
Mine,Bazzi
No Tears Left To Cry,Ariana Grande
Friends,Marshmello & Anne-Marie
Delicate,Taylor Swift
The Middle,"Zedd, Maren Morris & Grey"
In My Blood,Shawn Mendes
Never Be The Same,Camila Cabello
I Like Me Better,Lauv
Girls Like You,Maroon 5 Featuring Cardi B
One Kiss,Calvin Harris & Dua Lipa
Nice For What,Drake
Back To You,Selena Gomez
New Rules,Dua Lipa
I Like It,"Cardi B, Bad Bunny & J Balvin"
Love Lies,Khalid & Normani
Alone,Halsey Featuring Big Sean & Stefflon Don
Better Now,Post Malone
IDGAF,Dua Lipa
Sit Next To Me,Foster The People
Growing Pains,Alessia Cara
Don't Go Breaking My Heart,Backstreet Boys
Youngblood,5 Seconds Of Summer
Done For Me,Charlie Puth Featuring Kehlani
Familiar,Liam Payne & J Balvin
Dinero,Jennifer Lopez Featuring DJ Khaled & Cardi B
Move To Miami,Enrique Iglesias Featuring Pitbull
Home With You,Madison Beer
Drew Barrymore,Bryce Vine
Remind Me To Forget,Kygo Featuring Miguel
All Night,Big Boi
Bed,Nicki Minaj Featuring Ariana Grande
Lie,NF
